時刻,弐寺,ダンレボ,ダンスラ,ギタドラ,指,ポプ,ボルテ,ノスタ
09/22 00:20,1100,798,556,918,680,740,1100,770
09/23 00:00,1200,862,600,1040,715,850,1200,889
09/24 00:00,1368,912,642,1200,817,1000,1330,950
09/25 00:15,1465,968,729,1260,900,1028,1500,1010
09/26 00:00,1522,1015,768,1304,910,1100,1542,1100
09/27 00:00,1655,1160,838,1436,1000,1163,1658,1130
09/28 00:00,1708,1200,920,1496,1050,1310,1782,1235
09/29 00:00,1960,1344,992,1608,1100,1440,1900,1362
09/30 00:00,2168,1500,1053,1896,1150,1598,2104,1478
09/30 00:10,2168,1500,1053,1896,1150,1598,2104,1478
09/30 00:11,2168,1500,1053,1896,1150,1598,2104,1483
